id,name
AUT,Austria
BEL,Belgium
BGR,Bulgaria
HRV,Croatia
CYP,Cyprus
CZE,Czechia
DNK,Denmark
EST,Estonia
FIN,Finland
FRA,France
DEU,Germany
GRC,Greece
HUN,Hungary
IRL,Ireland
ITA,Italy
LVA,Latvia
LTU,Lithuania
LUX,Luxembourg
NLD,Netherlands
POL,Poland
PRT,Portugal
ROU,Romania
SVK,Slovakia
SVN,Slovenia
ESP,Spain
SWE,Sweden
GBR,United Kingdom
ALB,Albania
BIH,Bosnia and Herzegovina
MKD,Macedonia
MNE,Montenegro
SRB,Serbia
CHE,Switzerland
NOR-1_1,Akershus
NOR-2_1,Ãstfold
NOR-3_1,Aust-Agder
NOR-4_1,Buskerud
NOR-5_1,Finnmark
NOR-6_1,Hedmark
NOR-7_1,Hordaland
NOR-8_1,Møre og Romsdal
NOR-9_1,Nord-Trøndelag
NOR-10_1,Nordland
NOR-11_1,Oppland
NOR-12_1,Oslo
NOR-13_1,Rogaland
NOR-14_1,Sogn og Fjordane
NOR-15_1,Sør-Trøndelag
NOR-16_1,Telemark
NOR-17_1,Troms
NOR-18_1,Vest-Agder
NOR-19_1,Vestfold
Nordvest-A,Wind-1
Nordvest-C,Wind-2
Vestavind-A,Wind-3
Sonnavind-A,Wind-4
Sorvest-C,Wind-5
Nordvest-B,Wind-6
Vestavind-F,Wind-7
Sorvest-E,Wind-8
Sorvest-A,Wind-9
Vestavind-B,Wind-10
Vestavind-C,Wind-11
Vestavind-D,Wind-12
Sorvest-F,Wind-13
Sorvest-B,Wind-14
Nordavind-B,Wind-15
Nordavind-A,Wind-16
Nordavind-D,Wind-17
Nordavind-C,Wind-18
Vestavind-E,Wind-19
Sorvest-D,Wind-20
